N = 20
n = 0, p_1 = 0.06, p_2 = 0.2
n = 1, p_1 = 0.072, p_2 = 0.027999999999999997
n = 2, p_1 = 0.0072, p_2 = 0.024
n = 3, p_1 = 0.00432, p_2 = 0.01344
n = 4, p_1 = 0.0030239999999999993, p_2 = 0.009408
n = 5, p_1 = 0.0007055999999999998, p_2 = 0.008231999999999998
n = 6, p_1 = 0.0004939199999999999, p_2 = 0.005762399999999998
n = 7, p_1 = 0.0010372319999999995, p_2 = 0.003226943999999999
n = 8, p_1 = 0.00024202079999999994, p_2 = 0.002823575999999999
n = 9, p_1 = 0.0010164873599999996, p_2 = 0.0003953006399999999
n = 10, p_1 = 0.0006098924159999998, p_2 = 6.776582399999997e-05
n = 11, p_1 = 6.098924159999998e-05, p_2 = 0.00020329747199999992
n = 12, p_1 = 7.318708991999996e-05, p_2 = 2.8461646079999986e-05
n = 13, p_1 = 4.3912253951999975e-05, p_2 = 4.879139327999998e-06
n = 14, p_1 = 1.3173676185599992e-05, p_2 = 1.1709934387199994e-05
n = 15, p_1 = 2.6347352371199985e-06, p_2 = 8.782450790399995e-06
n = 16, p_1 = 1.5808411422719991e-06, p_2 = 4.918172442623998e-06
n = 17, p_1 = 1.1065887995903992e-06, p_2 = 3.442720709836798e-06
n = 18, p_1 = 2.582040532377598e-07, p_2 = 3.0123806211071976e-06
n = 19, p_1 = 1.084457023598591e-06, p_2 = 4.217332869550077e-07
T = [2 1 2 2 2 2 2 2 2 1 1 2 1 1 1 2 2 2 2 1]
