N = 20
n = 0, p_1 = 0.18, p_2 = 0.16000000000000003, T[n] = 1
n = 1, p_1 = 0.216, p_2 = 0.024, T[n] = 1
n = 2, p_1 = 0.0216, p_2 = 0.072, T[n] = 2
n = 3, p_1 = 0.012959999999999998, p_2 = 0.040319999999999995, T[n] = 2
n = 4, p_1 = 0.0030239999999999998, p_2 = 0.03527999999999999, T[n] = 2
n = 5, p_1 = 0.006350399999999998, p_2 = 0.019756799999999995, T[n] = 2
n = 6, p_1 = 0.0044452799999999985, p_2 = 0.013829759999999995, T[n] = 2
n = 7, p_1 = 0.0010372319999999997, p_2 = 0.012101039999999993, T[n] = 2
n = 8, p_1 = 0.0007260623999999997, p_2 = 0.008470727999999995, T[n] = 2
n = 9, p_1 = 0.003049462079999998, p_2 = 0.0011859019199999994, T[n] = 1
n = 10, p_1 = 0.0009148386239999994, p_2 = 0.0008131898879999996, T[n] = 1
n = 11, p_1 = 0.0010978063487999993, p_2 = 0.00012197848319999994, T[n] = 1
n = 12, p_1 = 0.0006586838092799995, p_2 = 7.318708991999996e-05, T[n] = 1
n = 13, p_1 = 0.0003952102855679997, p_2 = 4.391225395199998e-05, T[n] = 1
n = 14, p_1 = 0.0001185630856703999, p_2 = 0.00010538940948479994, T[n] = 1
n = 15, p_1 = 2.3712617134079983e-05, p_2 = 7.904205711359995e-05, T[n] = 2
n = 16, p_1 = 4.742523426815997e-06, p_2 = 5.532943997951996e-05, T[n] = 2
n = 17, p_1 = 3.3197663987711975e-06, p_2 = 3.873060798566397e-05, T[n] = 2
n = 18, p_1 = 2.323836479139838e-06, p_2 = 2.7111425589964774e-05, T[n] = 2
n = 19, p_1 = 4.880056606193659e-06, p_2 = 1.5182398330380275e-05, T[n] = 2
T = [1 1 2 2 2 2 2 2 2 1 1 1 1 1 1 2 2 2 2 2]
